customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,Segment
CUS00000,10,3,4584000.0,5,2,3,Loyal
CUS00001,4,3,4556000.0,5,2,3,Loyal
CUS00002,1,8,10881000.0,5,4,5,Champions
CUS00003,21,4,6628000.0,5,3,4,Loyal
CUS00004,37,2,5136000.0,4,2,4,Loyal
CUS00005,39,3,7115000.0,4,2,4,Loyal
CUS00006,1,6,11185000.0,5,3,5,Champions
CUS00007,6,6,15362000.0,5,3,5,Champions
CUS00008,13,5,5467000.0,5,3,4,Loyal
CUS00009,2,4,9935000.0,5,3,4,Loyal
CUS00010,13,3,6988000.0,5,2,4,Loyal
CUS00011,13,4,12298000.0,5,3,5,Champions
CUS00012,30,5,6630000.0,5,3,4,Loyal
CUS00013,0,8,12323000.0,5,4,5,Champions
CUS00014,10,3,5673000.0,5,2,4,Loyal
CUS00015,4,5,6522000.0,5,3,4,Loyal
CUS00016,0,4,3586000.0,5,3,3,Loyal
CUS00017,30,2,5075000.0,5,2,4,Loyal
CUS00018,0,3,3943000.0,5,2,3,Loyal
CUS00019,55,3,3112000.0,4,2,3,Needs Attention
CUS00020,0,8,10080000.0,5,4,5,Champions
CUS00021,1,6,5497000.0,5,3,4,Loyal
CUS00022,44,4,7976000.0,4,3,4,Loyal
CUS00023,100,1,4074000.0,2,1,3,At Risk
CUS00024,4,4,8743000.0,5,3,4,Loyal
CUS00025,9,4,4309000.0,5,3,3,Loyal
CUS00026,11,4,9253000.0,5,3,4,Loyal
CUS00027,11,3,4918000.0,5,2,3,Loyal
CUS00028,1,6,11027000.0,5,3,5,Champions
CUS00029,29,2,8277000.0,5,2,4,Loyal
CUS00030,41,2,1409000.0,4,2,2,Needs Attention
CUS00031,18,3,4189000.0,5,2,3,Loyal
CUS00032,2,9,17629000.0,5,4,5,Champions
CUS00033,22,4,4924000.0,5,3,3,Loyal
CUS00034,26,4,5182000.0,5,3,4,Loyal
CUS00035,13,4,2671000.0,5,3,3,Loyal
CUS00036,62,3,7431000.0,3,2,4,Needs Attention
CUS00037,12,2,2547000.0,5,2,3,Loyal
CUS00038,3,6,8847000.0,5,3,4,Loyal
CUS00039,10,9,10527000.0,5,4,5,Champions
CUS00040,35,3,5028000.0,4,2,4,Loyal
CUS00041,41,3,4372000.0,4,2,3,Needs Attention
CUS00042,27,4,7137000.0,5,3,4,Loyal
CUS00043,12,4,5830000.0,5,3,4,Loyal
CUS00044,16,5,9456000.0,5,3,4,Loyal
CUS00045,10,5,8317000.0,5,3,4,Loyal
CUS00046,57,1,424000.0,4,1,1,Hibernating
CUS00047,15,3,2223000.0,5,2,3,Loyal
CUS00048,16,3,4243000.0,5,2,3,Loyal
CUS00049,37,2,1459000.0,4,2,2,Needs Attention
CUS00050,96,2,1875000.0,2,2,2,Hibernating
CUS00051,27,6,8970000.0,5,3,4,Loyal
CUS00052,1,4,7605000.0,5,3,4,Loyal
CUS00053,47,5,6747000.0,4,3,4,Loyal
CUS00054,21,7,11174000.0,5,3,5,Champions
CUS00055,8,7,14057000.0,5,3,5,Champions
CUS00056,0,6,4168000.0,5,3,3,Loyal
CUS00057,80,1,3776000.0,3,1,3,Needs Attention
CUS00058,60,1,2277000.0,4,1,3,Needs Attention
CUS00059,18,5,8585000.0,5,3,4,Loyal
CUS00060,71,1,1675000.0,3,1,2,Hibernating
CUS00061,0,6,5581000.0,5,3,4,Loyal
CUS00062,21,6,9896000.0,5,3,4,Loyal
CUS00063,14,2,5860000.0,5,2,4,Loyal
CUS00064,3,3,9169000.0,5,2,4,Loyal
CUS00065,57,11,13612000.0,4,4,5,Champions
CUS00066,16,3,3239000.0,5,2,3,Loyal
CUS00067,13,5,13472000.0,5,3,5,Champions
CUS00068,16,1,1345000.0,5,1,2,Needs Attention
CUS00069,3,1,814000.0,5,1,2,Needs Attention
CUS00070,4,6,3771000.0,5,3,3,Loyal
CUS00071,16,4,5591000.0,5,3,4,Loyal
CUS00072,1,7,13724000.0,5,3,5,Champions
CUS00073,4,8,9987000.0,5,4,4,Champions
CUS00074,2,4,4802000.0,5,3,3,Loyal
CUS00075,28,5,17397000.0,5,3,5,Champions
CUS00076,3,5,4515000.0,5,3,3,Loyal
CUS00077,77,1,1592000.0,3,1,2,Hibernating
